@relation dn2a

@attribute f1 numeric
@attribute f3 numeric
@attribute f4 {1,0}
@attribute f5 {2,6,4,3,1,5,0}
@attribute y {1,0}

@data
0.5547132854011279,5.226381718316114,1,2,1
0.0693674829417549,5.323451655007134,1,6,1
-0.2670429315021183,5.43831908638624,1,4,1
0.4282943116164004,4.096338823017479,0,3,1
0.622959625288559,3.709571987592672,0,1,1
-0.8142794519508216,5.599684616517748,0,6,0
-0.2377673935971742,4.666595327226665,0,2,0
-0.2672874855253131,5.2183664913779735,0,1,0
0.3039544330893424,4.279047398080136,0,4,0
0.9685803335917194,4.190511311728816,1,6,1
-0.2019297517064431,4.3392904172779705,0,2,0
0.531913368841257,4.848510553799741,0,3,1
0.8980433883843832,4.93669171475666,0,2,1
-0.90472970837611,5.541663647932426,1,6,1
-0.8031704414723115,4.398610074235989,0,3,0
0.4531888993139379,5.188129692538127,1,4,1
-0.8292362617151898,4.658408824727508,1,5,1
-0.960294168628467,6.275770077804124,1,0,0
0.5682106504492737,5.68132432234735,0,6,1
-0.9366412461889604,6.149620196832992,1,2,0
-0.0330371409766792,4.2641842200039735,0,6,0
0.7649517028714987,4.626591210892186,0,3,1
-0.5534136156111014,6.48203587888036,0,1,0
0.8471496473763922,5.526571318541082,1,6,1
0.2055136092867546,4.644488666391241,1,5,1
0.8815221454011559,4.954186293712262,0,4,1
0.2914677921471196,3.901501115691776,0,0,1
0.8448072846181172,4.962425015778287,1,3,1
0.4752828708550405,5.358326401581133,1,0,1
0.3797370002303972,5.059529318659807,0,4,1
-0.1507871596511343,5.237478530067103,0,0,0
0.5584025763105263,5.338209094136968,0,6,1
0.8007647288440818,4.922957876250222,0,4,1
0.6329756086019251,4.281022513772335,0,0,1
0.9812894647407142,4.861320060158929,0,1,1
0.9316376852744176,4.755861934778532,1,6,1
-0.2806762270829084,4.389366251206793,1,1,0
-0.4514930662355711,4.574525895429351,0,6,0
-0.99882978212893,4.343472660055355,0,5,0
0.314785453278402,5.241266043524626,1,3,1
-0.9400685973133294,4.834151086840944,0,5,0
-0.6271690053321584,5.433778098986169,0,3,0
0.2854471261589659,4.793548675281657,1,3,1
-0.075988251326162,5.008628703458393,0,5,0
-0.900748288266116,4.109245473047908,0,4,0
-0.2835126189185741,5.427372124881968,1,5,1
-0.8859309205665631,4.50890557736526,0,1,0
0.4462168628928815,5.444061487957436,0,3,1
-0.4384433648456132,4.223533435652691,0,5,0
-0.8424948199250359,4.556425328171792,1,4,1
0.1548653889308882,4.670503360656523,0,5,0
0.6530980450330621,4.721728372212392,1,6,1
0.4594395982265062,5.481922479364112,1,6,1
0.5757339481687349,5.388936670338267,1,6,1
-0.411674178293518,6.776559843827629,1,6,1
-0.7715673769742655,3.834299300312394,0,5,0
-0.9568227533461038,5.921264796279708,1,3,0
-0.743718594536696,4.085355704769249,0,2,0
0.9759278611795604,4.929869495008331,1,1,1
-0.335640288127246,5.267393515566774,1,2,0
-0.3339363263260273,4.082661140572269,1,6,1
-0.8988448360021373,5.054676656249678,0,6,0
-0.6635085037418895,5.40809581132895,0,5,0
-0.4544903228815586,4.530434259166379,0,6,0
-0.738124453943751,5.0204129910861,1,4,1
-0.4626066279272671,4.043937379267075,1,6,1
0.5121032959447642,5.6249585676144,1,0,1
0.92906093176855,4.328424296458629,0,1,1
