f1,f2,f3,f4,f5,y
0.5547132854011279,0.0,5.226381718316114,1,2,1
0.06936748294175499,1.0,5.323451655007134,1,6,1
-0.26704293150211833,2.070529847682755,5.43831908638624,1,4,1
0.4282943116164004,3.169401925648614,4.096338823017479,0,3,1
0.622959625288559,4.2870938501451725,3.709571987592672,0,1,1
-0.8142794519508216,5.418991933671841,5.599684616517748,0,6,0
-0.23776739359717425,6.562341286358655,4.666595327226665,0,2,0
-0.2672874855253131,7.715302207814953,5.2183664913779735,0,1,0
0.30395443308934245,8.87655577654276,4.279047398080136,0,4,0
0.9685803335917194,10.04510856630514,4.190511311728816,1,6,1
-0.20192975170644312,11.220184543019636,4.3392904172779705,0,2,0
0.531913368841257,12.401160245736165,4.848510553799741,0,3,1
0.8980433883843832,13.587523504086441,4.93669171475666,0,2,1
-0.9047297083761099,14.778845872122783,5.541663647932426,1,6,1
-0.8031704414723115,15.974763505173518,4.398610074235989,0,3,0
0.4531888993139379,17.17496346965384,5.188129692538127,1,4,1
-0.8292362617151898,18.37917367995256,4.658408824727508,1,5,1
-0.960294168628467,19.58715533309475,6.275770077804124,1,0,0
0.5682106504492737,20.79869710974852,5.68132432234735,0,6,1
-0.9366412461889604,22.013610653350803,6.149620196832992,1,2,0
-0.0330371409766792,23.231726992830847,4.2641842200039735,0,6,0
0.7649517028714987,24.452893674409715,4.626591210892186,0,3,1
-0.5534136156111014,25.67697243469354,6.48203587888036,0,1,0
0.8471496473763922,26.903837292838638,5.526571318541082,1,6,1
0.20551360928675466,28.133372971301952,4.644488666391241,1,5,1
0.8815221454011559,29.36547357720048,4.954186293712262,0,4,1
0.2914677921471196,30.6000414925333,3.9015011156917763,0,0,1
0.8448072846181172,31.8369864333969,4.962425015778287,1,3,1
0.4752828708550405,33.07622464713496,5.358326401581133,1,0,1
0.37973700023039725,34.317678222981,5.0595293186598065,0,4,1
-0.15078715965113432,35.56127449677924,5.237478530067103,0,0,0
0.5584025763105263,36.80694553422866,5.3382090941369675,0,6,1
0.8007647288440818,38.05462768008708,4.922957876250222,0,4,1
0.6329756086019251,39.30426116311324,4.281022513772335,0,0,1
0.9812894647407142,40.55578974837114,4.861320060158929,0,1,1
0.9316376852744175,41.80916042998978,4.755861934778532,1,6,1
-0.2806762270829084,43.06432315864736,4.389366251206793,1,1,0
-0.45149306623557117,44.32123059899813,4.574525895429351,0,6,0
-0.99882978212893,45.57983791302991,4.343472660055355,0,5,0
0.314785453278402,46.840102565970014,5.241266043524626,1,3,1
-0.9400685973133294,48.10198415187341,4.834151086840944,0,5,0
-0.6271690053321584,49.36544423645452,5.433778098986169,0,3,0
0.28544712615896595,50.63044621507815,4.793548675281657,1,3,1
-0.07598825132616205,51.8969551841206,5.008628703458393,0,5,0
-0.900748288266116,53.16493782416031,4.109245473047908,0,4,0
-0.28351261891857416,54.43436229366547,5.427372124881968,1,5,1
-0.8859309205665631,55.705198132022815,4.50890557736526,0,1,0
0.44621686289288154,56.9774161709013,5.444061487957436,0,3,1
-0.4384433648456132,58.25098845307197,4.223533435652691,0,5,0
-0.8424948199250359,59.52588815791429,4.556425328171792,1,4,1
0.1548653889308882,60.802089532932875,4.670503360656523,0,5,0
0.6530980450330621,62.079567830689015,4.721728372212392,1,6,1
0.45943959822650626,63.35829925062096,5.481922479364112,1,6,1
0.5757339481687349,64.63826088528718,5.388936670338267,1,6,1
-0.41167417829351804,65.91943067061922,6.776559843827629,1,6,1
-0.7715673769742655,67.20178733981618,3.834299300312394,0,5,0
-0.9568227533461038,68.48531038055295,5.921264796279708,1,3,0
-0.743718594536696,69.76997999520887,4.085355704769249,0,2,0
0.9759278611795603,71.05577706385465,4.929869495008331,1,1,1
-0.335640288127246,72.34268310976147,5.267393515566774,1,2,0
-0.3339363263260273,73.63068026722097,4.082661140572269,1,6,1
-0.8988448360021373,74.91975125148515,5.054676656249678,0,6,0
-0.6635085037418895,76.20987933065393,5.40809581132895,0,5,0
-0.45449032288155866,77.50104829935495,4.530434259166379,0,6,0
-0.738124453943751,78.79324245407466,5.0204129910861,1,4,1
-0.46260662792726714,80.08644657001275,4.043937379267075,1,6,1
0.5121032959447642,81.38064587934407,5.6249585676144,1,0,1
0.9290609317685501,82.67582605078223,4.328424296458629,0,1,1
0.8926824785426621,83.97197317034873,5.067767633673929,0,2,1
-0.835116007018154,85.26907372325977,6.067008329309417,1,6,1
0.7181840760585978,86.5671145768506,4.631807773778981,0,2,1
-0.275535096560632,87.86608296446393,5.935970055522172,1,4,1
-0.43860640359906045,89.16596647023506,4.218468269259582,1,4,1
0.5006585455541335,90.46675301471234,4.31668514161247,1,2,1
0.83426053617939,91.76843084125585,6.413506040718412,0,5,1
0.06976295772501628,93.07098850316268,4.085258307019182,0,6,0
0.3643134611297283,94.37441485147049,4.961602114367098,1,6,1
-0.7638548360673456,95.67869902339525,3.859913655892212,0,0,0
0.12859493310077275,96.98383043136252,4.335123247064482,0,0,0
-0.8816097642581888,98.28979875259427,4.437796078000423,0,5,0
0.12729747372601974,99.59659391921674,3.8230321231045448,0,4,1
-0.815273188824156,100.90420610885693,4.757709749486857,1,3,0
-0.545039551217696,102.21262573569773,4.769842839193305,1,1,0
0.19602306595268826,103.52184344196431,5.19545687794991,1,2,1
0.2517674468401354,104.83185008981569,5.4058800439058885,1,2,1
-0.020790883460047427,106.14263675361784,5.374726585229082,1,1,1
0.2624913094289971,107.454194712576,5.092493339767739,1,0,1
0.3800747802736606,108.76651544370547,4.439731142153681,1,1,1
0.6667636502977963,110.0795906151218,5.686710643522496,1,5,1
-0.3160837328798791,111.3934120796321,4.345357372353295,0,0,0
-0.15780904259880257,112.70797186861107,5.071895796946655,1,1,0
-0.47008236894378963,114.02326218614581,4.804010828553162,1,4,1
-0.9339936392833597,115.33927540343488,6.014096423040923,0,3,0
-0.09599037531864818,116.65600405342795,4.839155299835581,0,6,0
-0.9142209484210071,117.97344082569322,4.370234409633477,1,6,1
0.8783510534257326,119.29157856150051,6.209376631034359,0,5,1
-0.5972390175317213,120.61041024910902,5.808601419562478,0,1,0
0.8776971172238384,121.92992901924893,4.784699777023567,1,2,1
-0.19912019486902088,123.25012814078698,5.749899722938419,0,4,0
0.49078550958915335,124.57100101656711,4.956687033841195,0,6,1
0.5656637264910449,125.89254117941675,5.990477656192305,0,1,1
-0.679531231951392,127.21474228831117,5.237994808125337,0,4,0
0.8321105126443895,128.5375981246878,4.735585444910965,0,2,1
0.8843848022488532,129.8611025889033,6.034484479277309,1,0,1
0.11808017136316606,131.18524969682662,4.647991348789675,1,2,1
0.5348925079995897,132.51003357656143,5.764039557952121,0,6,1
-0.6591417301827769,133.83544846529185,4.954827535805094,1,2,0
-0.13516379153309033,135.16148870624596,4.23531484331483,1,4,1
-0.022000106930926577,136.48814874577116,5.924454505566589,1,4,1
-0.4681248143312242,137.81542313051673,4.383178192349697,1,3,1
0.8121338918008902,139.1433065047185,5.709831354679438,1,5,1
-0.053055715872030396,140.4717936075809,4.131430194699943,0,6,0
0.73920796697812,141.8008792707525,4.22038771789572,1,2,1
0.7131846946853018,143.1305584158901,5.529412833778771,1,6,1
0.4074365456218152,144.4608260523087,5.626836973039323,1,5,1
-0.3480453481201682,145.79167727471224,5.298843315603269,0,1,0
-0.8947208406306459,147.12310726100276,5.572631882484831,0,4,0
-0.8641958429717007,148.45511127016394,4.801211357378285,1,2,0
0.5641468071741447,149.7876846402162,5.593064613098674,1,3,1
0.8665676102663586,151.12082278624035,5.077131669430487,1,1,1
0.3859592965527341,152.45452119846667,5.703076672237178,1,2,1
-0.6519996457020854,153.78877544042706,4.384124529855628,1,4,1
-0.3616704594964457,155.12358114716744,4.55706571214993,1,0,0
0.7707037193016979,156.45893402351822,5.255665333307399,0,1,1
-0.8958741884824506,157.79482984242003,6.046126228012693,1,2,0
-0.01799830940699776,159.131264443303,5.046583025081194,1,1,1
0.9301119659777042,160.46823373051726,5.969712864927258,1,0,1
0.3392173783481085,161.80573367181265,3.910535275337763,1,3,1
-0.3698369509375081,163.1437602968656,4.76875106193852,0,1,0
-0.17243947783460523,164.48230969585165,4.724324778500546,0,4,0
0.5794300103806289,165.8213780180616,5.922000027617458,0,1,1
-0.18054386799489675,167.16096147055973,6.0405924923093846,1,4,1
0.4827260691770745,168.5010563168825,5.665456453297658,0,0,1
-0.9996684929622579,169.84165887577623,5.809745959150354,0,4,0
0.1904744223579531,171.1827655199721,4.509832021821785,0,0,1
0.25236765724802823,172.52437267499764,4.8516321957311455,1,2,1
-0.7724126960266915,173.86647681802256,3.8736024808511957,1,3,0
-0.6235659441802457,175.20907447673846,5.127898468583443,0,6,0
-0.20311531111997194,176.55216222827067,5.038523029296261,1,1,0
0.5603609239810599,177.89573669812123,6.462323514762851,1,6,1
0.10497583398991006,179.2397945591421,4.4176246924471965,1,4,1
0.22206846779583977,180.58433253053704,5.079329075277098,1,5,1
-0.3443922639635275,181.92934737689183,5.662980176129574,0,1,0
-0.8566908859001563,183.27483590723108,4.650797694723256,0,3,0
-0.8765692477931657,184.62079497410147,4.096979312291087,0,5,0
-0.8043563775545151,185.96722147267982,5.154299589152755,1,4,1
-0.6060808038838312,187.31411233990576,5.0450257696559175,1,5,1
-0.960766275894529,188.66146455363756,5.555220748627319,1,2,0
-0.8584168324806067,190.00927513183092,5.721052039715439,1,0,0
