@relation dn2a

@attribute x numeric
@attribute y numeric
@attribute c numeric

@data
-10.9483000953784,-5.04171706498908,-878.311126799082
-10.9461435144034,-5.20191577928193,-879.266461064051
-10.9438596019088,-4.88212229781454,-876.852045431695
-10.937505023071,-5.36258821929086,-879.726004311521
-10.9327088338254,-4.72326033602724,-874.881402556762
-10.9225016918747,-5.52360285944286,-879.697850290467
-10.9147366116779,-4.56525861645292,-872.391529414386
-10.9012524395118,-5.68482692958902,-879.190226349551
-10.8898338327976,-4.40824309683698,-869.37490680329
-10.8738779740184,-5.84612647519908,-878.211489325827
-10.8578935266,-4.25233819891172,-865.824168940603
-10.8431787584361,70.279108804414,-342.971002768698
-10.8424749721193,69.688326592879,-347.052286703049
-10.8405007332637,-6.00736641813491,-876.770121388271
-10.8373415158682,70.861689213575,-338.443472226843
-10.8353423065205,69.0895137905313,-350.694761068381
-10.8248530848454,71.4358987703698,-333.462396140524
-10.8218948452492,68.4828437085813,-353.905997124141
-10.8188109091045,-4.09766675218774,-861.732107266383
-10.8056053511177,72.001570647531,-328.020617503368
-10.8022485491803,67.8684916952445,-356.693696420191
-10.8012448248306,-6.16841061798178,-874.874725837844
-10.7794923002811,72.5585403009066,-322.111125015316
-10.7765211990217,67.2466350723746,-359.065686818068
-10.7724834366458,-3.94434993848828,-857.091674191164
-10.7562359653057,-6.32912193390415,-872.534022865886
-10.7464100715183,73.1066455290334,-315.72705680369
-10.7448323372148,66.617453071427,-361.02991846557
-10.7188108587567,-3.7925072372579,-851.895986785092
-10.7073032091922,65.9811267687652,-362.594459726459
-10.7062570105333,73.645726531883,-308.8617040879
-10.7056014190076,-6.48936228700434,-869.756845272634
-10.664056704016,65.3378390203187,-363.76749306702
-10.6589337216554,74.1756259687738,-301.508514786069
-10.6576952701999,-3.64225637166344,-846.138330407056
-10.6494699361742,-6.64899272316254,-866.552134147568
-10.6334780364333,-4.84760393027187,-852.71103631728
-10.6333980136546,-5.00302598591045,-853.792828952789
-10.6271150376762,-4.69280808703648,-851.137514510334
-10.6269862531152,-5.15894818240546,-854.390578766719
-10.6152172944238,64.687774395647,-364.557310901124
-10.6143559075581,-5.31524316383594,-854.512107028842
-10.6141996582334,-4.53876318629667,-849.064715988065
